,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,2890,consent.html,external-html,0,2925,0.0-0.0,zb5ecuj684wm9rakrtwb,male,journey,,,,,,
1,830,,image-button-response,1,3759,0.0-1.0,zb5ecuj684wm9rakrtwb,male,journey,check-1.png,1.0,check1,,,
2,574,,image-button-response,2,4335,0.0-2.0,zb5ecuj684wm9rakrtwb,male,journey,check-2.png,2.0,check2,,,
3,3019,,instructions,3,7355,0.0-3.0,zb5ecuj684wm9rakrtwb,male,journey,,,,"[{""page_index"":0,""viewing_time"":623},{""page_index"":1,""viewing_time"":824},{""page_index"":2,""viewing_time"":894},{""page_index"":3,""viewing_time"":677}]",,
4,9918,,html-slider-response,4,17275,0.0-4.0,zb5ecuj684wm9rakrtwb,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,5.0,
5,20383,,survey-text,5,37659,0.0-5.0,zb5ecuj684wm9rakrtwb,male,journey,,,description,,,"{""Q0"":""Jason has stage 2 lymphoma. He has a campaign where he's trying to raise money. I think you should help by donating what you can to his cause.\n""}"
6,4555,,survey-likert,6,42216,0.0-6.0-0.0,zb5ecuj684wm9rakrtwb,male,journey,,,urgent,,,"{""Q0"":4}"
7,2421,,survey-likert,7,44637,0.0-6.0-1.0,zb5ecuj684wm9rakrtwb,male,journey,,,sympathy,,,"{""Q0"":0}"
8,2127,,survey-text,8,46765,0.0-7.0,zb5ecuj684wm9rakrtwb,male,journey,,,past-donations,,,"{""Q0"":""0""}"
9,1592,,survey-multi-choice,9,48360,0.0-8.0-0.0,zb5ecuj684wm9rakrtwb,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
10,13708,,survey-multi-choice,10,62070,0.0-8.0-1.0,zb5ecuj684wm9rakrtwb,male,journey,,,ff-cancer,,,"{""Q0"":""No""}"
11,5251,,survey-multi-choice,11,67332,0.0-9.0,zb5ecuj684wm9rakrtwb,male,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,2850,,survey-text,12,70185,0.0-10.0,zb5ecuj684wm9rakrtwb,male,journey,,,age,,,"{""Q0"":""21""}"
13,1389,,survey-text,13,71576,0.0-11.0,zb5ecuj684wm9rakrtwb,male,journey,,,purpose,,,"{""Q0"":""""}"
14,897,,survey-text,14,72474,0.0-12.0,zb5ecuj684wm9rakrtwb,male,journey,,,feedback,,,"{""Q0"":""""}"
15,6371,debrief.html,external-html,15,79105,0.0-13.0,zb5ecuj684wm9rakrtwb,male,journey,,,,,,
