,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,32770,consent.html,external-html,0,32909,0.0-0.0,xgh8n76ltojwa8c6tcsu,male,battle,,,,,,
1,12802,,image-button-response,1,45715,0.0-1.0,xgh8n76ltojwa8c6tcsu,male,battle,check-1.png,1.0,check1,,,
2,4216,,image-button-response,2,49932,0.0-2.0,xgh8n76ltojwa8c6tcsu,male,battle,check-2.png,2.0,check2,,,
3,93638,,instructions,3,143572,0.0-3.0,xgh8n76ltojwa8c6tcsu,male,battle,,,,"[{""page_index"":0,""viewing_time"":4441},{""page_index"":1,""viewing_time"":84664},{""page_index"":2,""viewing_time"":3663},{""page_index"":3,""viewing_time"":870}]",,
4,9265,,html-slider-response,4,152838,0.0-4.0,xgh8n76ltojwa8c6tcsu,male,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>",,trial,,20.0,
5,18415,,survey-text,5,171255,0.0-5.0,xgh8n76ltojwa8c6tcsu,male,battle,,,description,,,"{""Q0"":""he is accepting donations. ""}"
6,6380,,survey-likert,6,177637,0.0-6.0-0.0,xgh8n76ltojwa8c6tcsu,male,battle,,,urgent,,,"{""Q0"":4}"
7,2149,,survey-likert,7,179789,0.0-6.0-1.0,xgh8n76ltojwa8c6tcsu,male,battle,,,sympathy,,,"{""Q0"":3}"
8,3802,,survey-text,8,183592,0.0-7.0,xgh8n76ltojwa8c6tcsu,male,battle,,,past-donations,,,"{""Q0"":""2""}"
9,2699,,survey-multi-choice,9,186294,0.0-8.0-0.0,xgh8n76ltojwa8c6tcsu,male,battle,,,self-cancer,,,"{""Q0"":""No""}"
10,2796,,survey-multi-choice,10,189094,0.0-8.0-1.0,xgh8n76ltojwa8c6tcsu,male,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,7899,,survey-multi-choice,11,197001,0.0-9.0,xgh8n76ltojwa8c6tcsu,male,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,3053,,survey-text,12,200056,0.0-10.0,xgh8n76ltojwa8c6tcsu,male,battle,,,age,,,"{""Q0"":""25""}"
13,3229,,survey-text,13,203286,0.0-11.0,xgh8n76ltojwa8c6tcsu,male,battle,,,purpose,,,"{""Q0"":""""}"
14,1930,,survey-text,14,205218,0.0-12.0,xgh8n76ltojwa8c6tcsu,male,battle,,,feedback,,,"{""Q0"":""""}"
15,22288,debrief.html,external-html,15,227803,0.0-13.0,xgh8n76ltojwa8c6tcsu,male,battle,,,,,,
