,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,34558,consent.html,external-html,0,35527,0.0-0.0,nu0usgu66w91qzw6eo13,female,battle,,,,,,
1,10596,,image-button-response,1,46131,0.0-1.0,nu0usgu66w91qzw6eo13,female,battle,check-1.png,1.0,check1,,,
2,3003,,image-button-response,2,49137,0.0-2.0,nu0usgu66w91qzw6eo13,female,battle,check-2.png,2.0,check2,,,
3,6826,,instructions,3,55963,0.0-3.0,nu0usgu66w91qzw6eo13,female,battle,,,,"[{""page_index"":0,""viewing_time"":2147},{""page_index"":1,""viewing_time"":1508},{""page_index"":2,""viewing_time"":1605},{""page_index"":3,""viewing_time"":1564}]",,
4,12897,,html-slider-response,4,68864,0.0-4.0,nu0usgu66w91qzw6eo13,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,35.0,
5,21865,,survey-text,5,90731,0.0-5.0,nu0usgu66w91qzw6eo13,female,battle,,,description,,,"{""Q0"":""stay home and stay safe...""}"
6,4659,,survey-likert,6,95396,0.0-6.0-0.0,nu0usgu66w91qzw6eo13,female,battle,,,urgent,,,"{""Q0"":4}"
7,5807,,survey-likert,7,101205,0.0-6.0-1.0,nu0usgu66w91qzw6eo13,female,battle,,,sympathy,,,"{""Q0"":4}"
8,7795,,survey-text,8,109004,0.0-7.0,nu0usgu66w91qzw6eo13,female,battle,,,past-donations,,,"{""Q0"":""1""}"
9,4195,,survey-multi-choice,9,113206,0.0-8.0-0.0,nu0usgu66w91qzw6eo13,female,battle,,,self-cancer,,,"{""Q0"":""Yes""}"
10,5711,,survey-multi-choice,10,118922,0.0-8.0-1.0,nu0usgu66w91qzw6eo13,female,battle,,,ff-cancer,,,"{""Q0"":""No""}"
11,24571,,survey-multi-choice,11,143521,0.0-9.0,nu0usgu66w91qzw6eo13,female,battle,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,11933,,survey-text,12,155465,0.0-10.0,nu0usgu66w91qzw6eo13,female,battle,,,age,,,"{""Q0"":""55""}"
13,20951,,survey-text,13,176423,0.0-11.0,nu0usgu66w91qzw6eo13,female,battle,,,purpose,,,"{""Q0"":""good and nice...""}"
14,15509,,survey-text,14,191947,0.0-12.0,nu0usgu66w91qzw6eo13,female,battle,,,feedback,,,"{""Q0"":""very interesting""}"
15,14399,debrief.html,external-html,15,213538,0.0-13.0,nu0usgu66w91qzw6eo13,female,battle,,,,,,
